model_run_id,model_param.diffuser.D,model_param.streampower.k,relief
4e8a6aa8-3d27-4fb5-a964-30ee0eda4125,0.005,0.00015,302.02772251275763
9c2a7812-b080-43ee-bf05-8dc492d11efa,0.005517241379310345,0.00015,295.9803859354642
bc1eb7d8-9459-4306-aa00-e239311fab0a,0.00603448275862069,0.00015,288.5980421045308
9e15892b-3e80-4c40-b478-ec0dcf8f4a9a,0.006551724137931035,0.00015,277.6960143334644
59b5c29e-956b-43ae-9be5-13488999bc8a,0.00706896551724138,0.00015,269.5526618532883
7dc1e323-12f7-4edc-a655-0e2384309b99,0.007586206896551724,0.00015,262.1528253056472
cb65ad66-02e4-46cd-822e-ff2bb190371e,0.008103448275862069,0.00015,260.57591463815237
5de2219a-07ad-425a-b9f2-f7b2b434946c,0.008620689655172414,0.00015,259.02298463293647
a83fd192-5360-4bce-b19f-c93be6deb561,0.009137931034482759,0.00015,257.51908335263937
04c381e7-fd6a-4274-91f3-d17a3699c14d,0.009655172413793104,0.00015,256.07561265659365
05c12fad-23d3-4157-9b61-e38e97dd3558,0.01017241379310345,0.00015,254.71939656053266
a7bc1133-b658-4d44-968c-bbe251ac7742,0.010689655172413794,0.00015,253.56161375143503
febf3031-0269-4378-9f0d-6fe7df82b1e9,0.01120689655172414,0.00015,252.24009038643925
75d77afe-78af-4be3-b9a3-776cca5b77a5,0.011724137931034483,0.00015,250.87527111996715
2eb3a8dc-b308-4816-9d9d-15f4e3805bb1,0.012241379310344828,0.00015,249.55552291845902
d168e9e8-67d5-44b2-8a73-c6c147263623,0.012758620689655172,0.00015,249.17185332757109
aa50d27d-3ff2-4a22-af0f-c42c89e7d4cd,0.013275862068965517,0.00015,247.82146018877685
930bc608-328a-4463-93f6-819041bd6f31,0.013793103448275862,0.00015,246.65315810900054
9cc42d8e-327f-4b76-a174-1a14af5d5882,0.014310344827586207,0.00015,245.3535335892766
f8330074-7ca3-4dff-9847-adec65fe9a33,0.014827586206896552,0.00015,244.09353536312494
e7a9a51f-a273-43dd-a1d0-3e279bbc72c9,0.015344827586206897,0.00015,242.93572584488948
