model_param.diffuser.D,model_param.streampower.k,model_run_id
0.005,0.00015,65b98e1e-fb89-490a-982d-31b01da32c9c
0.005,0.00024736842105263154,cf00026a-809f-4313-8319-ebdc470db534
0.005,0.0003447368421052631,599e72d5-9542-4d30-a354-483eb18facdc
0.005,0.0004421052631578947,68642f60-19cd-4dce-8e99-9a9412f68e20
0.005,0.0005394736842105263,a8e54c8b-cb25-4503-8ff7-75c66354e8dd
0.005,0.0006368421052631579,4ffb0e4c-647c-4950-8728-2fc5ebd71e37
0.005,0.0007342105263157895,1b892d0e-7a21-48c6-b43d-8fc25b6fbc2b
0.005,0.000831578947368421,9d708020-4864-4871-a471-5467571838e8
0.005,0.0009289473684210526,78185036-2815-450e-9618-254e388d23b3
0.005,0.0010263157894736842,11833197-548f-462d-b949-3e8fc4752ce6
0.005,0.0011236842105263158,1a9d6651-bb9a-41c2-ad05-3c3ac2762d18
0.005,0.0012210526315789474,12f81517-3a88-4c4b-87a0-67be67e2ab93
0.005,0.001318421052631579,25bbec71-9eb8-4a0e-977f-d0763c5821ae
0.005,0.0014157894736842105,343338a5-2e9f-40ce-b50d-5108fb2a12a0
0.005,0.0015131578947368421,7233e945-2dbf-41e5-ba61-916e441ee1e3
0.005,0.0016105263157894737,8f6dd66c-270d-48f6-b21f-4be354d5c04a
0.005,0.0017078947368421053,ed691bd9-6d92-4b73-8a50-3065817478cb
0.005,0.0018052631578947369,11f0f801-3773-45db-b53a-af04c1f99830
0.005,0.0019026315789473685,919f2d0d-aa50-4e3b-a52f-d9b361c07ec9
0.005,0.002,df304035-702d-4b49-9b17-1b430aebd216
0.005263157894736842,0.00015,be410fb2-7414-4270-8fee-4c4178c2fc3d
0.005263157894736842,0.00024736842105263154,51812474-f2fc-4d59-9ef6-e9d28ee4bb68
0.005263157894736842,0.0003447368421052631,e4c52baf-9e0d-48a2-b798-52de73062a28
0.005263157894736842,0.0004421052631578947,0bd3d9e4-7fb9-4f60-88ae-577a7a0c7347
0.005263157894736842,0.0005394736842105263,6b8cefac-1bae-4ff5-9288-1eb0a17205cd
0.005263157894736842,0.0006368421052631579,d3b7077e-1a7a-437a-863a-9fac813a92cb
0.005263157894736842,0.0007342105263157895,7fb169c5-b653-4116-922e-a6fe9e910d92
0.005263157894736842,0.000831578947368421,86d62793-99c5-4b34-b0e0-79b1ef8298dd
0.005263157894736842,0.0009289473684210526,9c70971c-0a20-4ebe-aaf4-163ece2a1631
0.005263157894736842,0.0010263157894736842,49e22565-4782-40bd-8284-721a51ec6b11
0.005263157894736842,0.0011236842105263158,9807946e-db92-4e99-87e2-8da9e9edfa31
0.005263157894736842,0.0012210526315789474,421c2802-efa6-4cd0-872c-1a9cb4c78d13
0.005263157894736842,0.001318421052631579,efc2bf0b-7713-4b5c-a4c5-f936aea429c5
0.005263157894736842,0.0014157894736842105,059fad83-5ce3-4c20-9291-f6d84c048f1c
0.005263157894736842,0.0015131578947368421,6fb5c8d6-b3fd-4c35-821b-f0fb3a27f4d5
0.005263157894736842,0.0016105263157894737,26008231-c4a1-4422-a8d5-f6edbf4d5ca9
0.005263157894736842,0.0017078947368421053,b399191b-0a8e-4f2f-b9e5-3d34f58e65e8
0.005263157894736842,0.0018052631578947369,f195f3c8-d2cd-440d-a5a4-1607a09f6eda
0.005263157894736842,0.0019026315789473685,d362d58e-9b80-48a0-85a7-3fc69abf3742
0.005263157894736842,0.002,5fe8f235-a1a3-4620-b322-dc5735df672d
0.005526315789473685,0.00015,2fb53f00-c87b-4ae2-a052-2943c1e644de
0.005526315789473685,0.00024736842105263154,3413b34d-c744-4a88-ab64-4cb58c68e646
0.005526315789473685,0.0003447368421052631,b037c2b7-40c0-4681-8d99-de5157929905
0.005526315789473685,0.0004421052631578947,f42b3bd0-46ec-47ca-b428-f9f6cbb31f8f
0.005526315789473685,0.0005394736842105263,7b7afd59-10b5-4ce9-a9ff-ccb2f7f7d4d2
0.005526315789473685,0.0006368421052631579,65d48bc3-52b4-464e-a020-98901a8b1f31
0.005526315789473685,0.0007342105263157895,303f677c-9472-47a8-9e53-795dd72acd3d
0.005526315789473685,0.000831578947368421,f9be25c5-7b90-40fa-9ed2-4d6413174583
0.005526315789473685,0.0009289473684210526,1a6cd817-dd82-45ea-b542-8bb648b6eea5
0.005526315789473685,0.0010263157894736842,d32540f9-b0f8-4631-9600-bbdf1f45298a
0.005526315789473685,0.0011236842105263158,0808ecab-38b1-4cf4-97e6-5a3551c65ee4
0.005526315789473685,0.0012210526315789474,4524f5f9-e9ed-44e1-80a8-f267339080fe
0.005526315789473685,0.001318421052631579,26c0925d-9afd-438c-9fab-585741f1d428
